"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"부산광역시  (2600000000)","3,306,993","3,306,993","200,627","264,771","386,558","393,792","489,807","539,964","560,595","314,419","139,225","16,774","461"
"부산광역시 중구 (2611000000)","39,311","39,311","931","1,773","5,638","4,310","4,582","6,423","7,849","5,068","2,388","333","16"
"부산광역시 서구 (2614000000)","104,449","104,449","5,060","7,063","12,272","10,400","13,778","16,812","19,412","12,559","6,273","800","20"
"부산광역시 동구 (2617000000)","86,809","86,809","3,903","4,636","9,480","10,598","11,324","13,941","15,970","10,784","5,518","640","15"
"부산광역시 영도구 (2620000000)","107,006","107,006","4,364","6,815","10,089","9,716","13,733","17,687","22,147","14,667","7,005","764","19"
"부산광역시 부산진구 (2623000000)","357,475","357,475","19,405","24,054","49,960","49,256","49,715","55,808","58,832","33,228","15,444","1,736","37"
"부산광역시 동래구 (2626000000)","272,590","272,590","18,893","25,485","29,383","31,940","43,738","43,823","43,222","24,611","10,230","1,233","32"
"부산광역시 남구 (2629000000)","255,786","255,786","14,568","22,340","32,784","26,678","38,448","41,257","41,271","25,657","11,507","1,240","36"
"부산광역시 북구 (2632000000)","276,684","276,684","16,736","21,609","31,476","33,069","37,773","49,562","51,175","23,869","10,147","1,230","38"
"부산광역시 해운대구 (2635000000)","383,355","383,355","24,071","35,804","41,691","42,119","60,575","67,383","61,640","32,945","15,104","1,962","61"
"부산광역시 사하구 (2638000000)","300,922","300,922","16,402","23,898","35,004","33,637","43,235","51,446","54,932","29,039","11,849","1,445","35"
"부산광역시 금정구 (2641000000)","218,711","218,711","10,393","16,423","29,191","22,469","28,987","36,554","39,810","23,022","10,510","1,317","35"
"부산광역시 강서구 (2644000000)","143,052","143,052","18,004","14,513","11,646","24,175","28,330","17,153","17,686","7,918","3,140","479","8"
"부산광역시 연제구 (2647000000)","202,919","202,919","12,512","15,972","22,931","25,203","30,548","32,741","33,834","19,596","8,639","921","22"
"부산광역시 수영구 (2650000000)","175,511","175,511","9,322","11,532","22,792","23,854","24,548","26,685","29,130","18,431","8,144","1,041","32"
"부산광역시 사상구 (2653000000)","203,029","203,029","9,675","13,986","25,604","23,575","26,908","36,385","39,955","19,059","7,111","746","25"
"부산광역시 기장군 (2671000000)","179,384","179,384","16,388","18,868","16,617","22,793","33,585","26,304","23,730","13,966","6,216","887","30"
